singer,name,lyrics,moodCat
周深,夢奇夢奇 Monki Monki,"['王者榮耀2021共創之夜LIVE演出', '住在夢幻森林', '有食夢的魔力', '神祇賜我姓名', '呼喚我叫夢奇', '王者大陸棲息', '守護著信物神秘', '又到了一次新的成人禮', '離開夢幻森林', '尋夢人間遊歷', '哪裡噩夢來襲', '哪裡有我蹤跡', '最親愛的小孩', '這個夜晚別擔心', '不請自來是我使命', '哎喲喂', '站住 別跑', '站住 別跑', '一口全吃掉', '追隨夢的傳奇', '哎喲 失手真糟糕', 'Monki Monki', '噩夢變成我的養料', 'Monki Monki', '壞的被我全都趕跑', 'Monki Monki', '好夢替我一夜星光', 'Monki Monki', '美夢成真你笑了就好', '啦嚕嚕啦 嚕啦哩啦', '嚕啦咧 哩啦咧', '啦嚕嚕啦 嚕啦哩啦', '啦啦哩 啦啦哩 啦咧', '啦嚕嚕啦 嚕啦哩啦', '嚕啦咧 哩啦咧', '啦嚕嚕啦 嚕啦哩啦', '啦啦哩 啦啦哩 啦咧', '哈哈哈 哈哈哈', '啦啦哩 啦啦哩 啦咧', '哈哈哈 哈哈哈', '啦啦哩 啦啦哩 啦咧', 'Monki Monki', '噩夢變成我的養料', 'Monki Monki', '壞的被我全都趕跑', 'Monki Monki', '好夢替我一夜星光', 'Monki Monki', '美夢成真你笑了就好', 'Monki Monki', '噩夢變成我的養料', 'Monki Monki', '壞的被我全都趕跑', 'Monki Monki', '好夢替我一夜星光', 'Monki Monki', '美夢成真你笑了就好', 'Monki Monki', '噩夢變成我的養料', 'Monki Monki', '壞的被我全都趕跑', 'Monki Monki', '好夢替我一夜星光', 'Monki Monki', '美夢成真你笑了就好', 'Monki Monki']",喜
張磊,黑馬人生,"['張磊 & 何珺潔', '從哪開始都不算晚', '未來就要把握現在', '明天的實力靠你我努力', '未來的自己會感謝自己', '江河奔流從不等人', '山峰自傲絕不低頭', '人生的黑馬大潮中披靡', '夢想的江山打下靠自己', '有夢就能飛上天際', '去追註定成為傳奇', '不凡到非凡人生拼實力', '美好江山在前方等待你']",哀
張磊,榕耀中土(領唱版),"['張磊 & 何珺潔 & 榕耀之聲合唱團', '祖國的東南舊時的榕院', '初徵鷹廈敢向天地亮劍', '精心設計繪就藍圖畫捲', '開拓奮進築豐碑萬千', '榕耀中土展望未來巨集圖', '以誠信為筋以創新為骨', '一帶一路隨時代昂首闊步', '福設人銳意進取逐夢徵途', '平行的鋼軌山河中蜿蜒', '貫通神州為國一往無前', '優先海外足跡五洲勘遍', '非亞拉美譜友誼詩篇', '榕耀中土展望未來巨集圖', '以誠信為筋以創新為骨', '一帶一路隨時代昂首闊步', '福設人銳意進取逐夢徵途', '榕耀中土展望未來巨集圖', '以誠信為筋以創新為骨', '一帶一路隨時代昂首闊步', '福設人銳意進取逐夢徵途', '福設人銳意進取逐夢徵途']",哀
蔡昕彤,雨夜,"['月光深藏夜的深情', '山川奔騰愛的贊歌', '雄鷹落寞 冬的鋒芒', '原野萌發春的涌動', '可記否我心依舊', '可記否濤聲依舊', '可記否戀曲依舊', '可記否那千古絕唱', '今夜是初春最冰冷的季節', '這不是春的輓歌', '心醉依然擁有海的情懷', '這是希望的序曲 是愛的吶喊', '可記否我心依舊', '可記否濤聲依舊', '可記否戀曲依舊', '可記否那千古絕唱', '今夜是初春最冰冷的季節', '這不是春的輓歌', '心醉依然擁有海的情懷', '這是希望的序曲 是愛的吶喊', '今夜是初春最冰冷的季節', '這不是春的輓歌', '心醉依然擁有海的情懷', '這是希望的序曲 是愛的吶喊']",哀
曾彭?,相遇在藍天,"['登上雲的階梯', '在藍天里相遇', '飛過天空沒留下痕跡', '卻在我心裡留住了你', '潔白的祥雲緩緩聚集', '陽光為它穿上了彩衣', '剛把我們融為了一體', '卻又慢慢的隨風而去', '如果下次還能和你相遇', '希望相遇在藍天里', '我始終會到達目的地', '遼闊天空依然屬於你', '如果下次還能和你相遇', '希望相遇在白雲里', '我要親口告訴你', '相遇藍天的傳奇']",愛
曾奕翔,先讓我睡,"['Oh愛 反覆播送對白 現在是誰主宰 氣氛瞬間被摔壞', '我猜 彼此都很無奈 爭吵到變發呆 希望一切能倒帶', '到底在吵什麼已經記不得 能不能就這樣別在賭氣了', 'Baby girl 能不能放過我 現在我想睡覺 能不能明天再說', 'Oh no 十二點鐘我想去做夢 ok是我錯這句又說錯 拜託能否在半夜先熄個火', 'Just you & me 別想太多 不想說 因為不是時候', '什麼愛不夠 現在幾點鐘 理性在跟感性說一聲借過', '一開口就說我變太多 還問我是不是想自由', '我腦袋放空 有那麼嚴重 不過就是訊息晚回幾分鐘', 'Baby girl 告訴我妳怎樣才能睡 失眠到底是不是因為 不夠累', '是我太笨拙 ok我又說錯 漸行漸遠 搞到 同床異夢', '我從來 沒有 因為 什麼事情 搞到失眠', '將身體 心理 分開 處理只是 一般情節', '真的沒有在Talk shit 也不是什麼視而不見', '就只是很單純的時間到我想要去睡', '有太多的問題 也沒有什麼對錯 只是因為個體不同', '根本就不用 馬拉松爭吵 Like政治辯論我們不如不說', ""But I don't blame her 在深夜翻了車 只怪我沒有抓好停損點讓自己撤"", 'Oh no 十二點鐘我想去做夢 ok是我錯這句又說錯 拜託能否在半夜先熄個火', 'Just you & me 別想太多 不想說 因為不是時候', '什麼愛不夠 現在幾點鐘 理性在跟感性說一聲借過', '一開口就說我變太多 還問我是不是想自由', '我腦袋放空 有那麼嚴重 不過就是訊息晚回幾分鐘', 'Just you & me 別翻來又覆去 如果妳不介意可以到我的懷裡', 'Just you & me 別翻來又覆去 如果妳不介意可以到我的懷裡', 'Just you & me 別翻來又覆去 如果妳不介意可以到我的懷裡']",怒
左海岸演唱組,音樂已經響起,"['我們在一起，', '那熟悉的情誼不再遠離，', '那青春怒放的際遇，', '刻錄著我們生命的痕跡。', '心底那褪色的往事，', '和愛的悲戚，', '化成風塵做雲煙去。', '這是一個初冬的日子，', '暖暖的艷陽鶯啼燕語，', '霓裳裝點了羽衣，', '曼妙的歌聲伴著華爾茲。', '新年音樂已經響起，', '我們在一起。', '看一段時光靜好，', '祈福今生今世。', '也許成長的歲月，', '從來不是排山倒海的聲勢，', '而是你剎那間的不知，', '繒出了一個鮮活的樣子。', '你深情熾熱的眼裡，', '分明又燃起流傳千古的烽火戀曲。', '這是一個初冬的日子，', '暖暖的艷陽鶯啼燕語，', '霓裳裝點了羽衣，', '曼妙的歌聲伴著華爾茲。', '新年音樂已經響起，', '我們在一起。', '看一段時光靜好，', '祈福今生今世。']",哀
蔡恩慧,這一城夜雨,"['嘀嘀嗒嘀叭叭嘀噠噠啊哈', '嘀嘀嗒嘀叭叭嘀噠噠啊哈', '是誰把留給今晚的時光打成了碎片', '是誰讓芭蕉葉子伴著嘀嘀嗒', '嘀叭叭嘀噠噠響聲飛舞起來', '是誰離散點點流螢相遇', '喧嘩了靜夜的安寧', '是誰的迷霧遮掩美麗夜色', '讓你我無眠聽著夏至雨聲', '是今夜的落雨是落雨的今夜', '看那激揚的生命如狂風驟雨呼嘯而過，', '呼嘯而過', '來不及背好行囊就已經', '劃上風浸雨濁的景觀，', '那藏在面譜後面的心跳', '分明是青衣花旦演繹盡致情暖', '是今夜的落雨，是落雨的今夜', '釀好煙雨矇矇的醉江南', '才有這麼多情絲縈 繞悱惻動人的故事']",哀
萬鈞,我好想失憶,"['一段不被接受的情意', '註定就是一場悲劇', '需要的不是哭泣', '只想來一次失憶', '腦海裡再也沒有過去', '一個人孤單的演著戲', '只會是受傷的結局', '需要的不是憐惜', '只想來一次失憶', '把過去忘的那麼徹底', '在這個沒有你的劇本里', '心痛到碎只是我自己', '我好想失憶忘記從前的', '一切包括你', '在這個沒有你的日子里', '我的天空一直下著雨', '我好想失憶 讓久違太陽', '重新升起', '不再唱一個人的獨角戲']",哀
蔣鋮航,足夠精彩,"['蔣鋮航 & 陳姿 & 蔣舟', '一道光追逐腳下的夢想', '綠茵場少年正迎著朝陽', '專註的目光堅毅的臉龐', '為夢奔跑釋放青春的能量', '一首歌唱響心中的希望', '蹴鞠夢千年文明在流淌', '不歇的動力堅定的信仰', '絕不服輸勇敢追逐在賽場', '足夠精彩 為自己喝彩', '心連起來不懼挑戰失敗', '足夠精彩 為青春喝彩', '追風少年張揚拼搏的風採']",喜
肆貳玖室,Walking On The Street(Yi Liou),"['As I woke up', 'Hearing the birds cheep', 'Got no plan', 'Showing up in my head', ""Don't know what to do"", 'Or somewhere to go', 'Or someone special to come across too', ""But I know it's gonna be my day walking on the street"", 'Along the street', 'Brimming with laughters', 'Hey hello and hi', 'See ya and goodbye', 'Oh will I meet her', 'My heart beats faster', 'Oh gosh what should I say when I see her', ""But I know it's gonna be my day walking on the street"", 'Look up the sky', 'Feeling so good', 'Nothing will stop me from this mood', 'Oh river Thames', 'Fast and forward', ""Just like the pace I'm going through the crowd"", 'And there is the sound ringing in my ears', 'Make me wanna fly to the cloud', ""Cause it says it's gonna be your day walking on the street"", 'Air turns damp', 'When the rain drop', 'Big Ben chimes', 'Telling us it is time', 'Umbrella parade', 'Feels like masquerade', 'Now everybody come join the fest', ""And I know it's gonna be their day walking on the street"", 'Woo now shout it out loud', 'Feeling so good', 'Nothing will stop me from this mood', 'Oh river Thames', 'Fast and forward', ""Just like the pace I'm going through the crowd"", 'And there is the sound ringing in my ears', 'Make me wanna fly to the cloud', ""Cause it says it's gonna be your day walking on the street"", 'Oh oh oh yeah', 'Oh come baby now', ""Let's join the dance"", 'Seize the day while you can', ""Well I'm sure it's gonna be our day walking on the street"", 'No doubt that it really is my day walking on the street', 'Doo lu du du lu lu du lu', 'Ah ah']",愛
八度潮廷,走失人海,"['你選擇離開的時候', '是落葉飛舞的深秋', '距離現在過了很久', '連回憶 都變模糊', '我也曾挽留 你仍選擇走', '給出的溫柔 你不收', '我對你的遷就 變成你的藉口', '多荒謬', '奇不奇怪 我竟然會開始釋懷', '不再抱有期待 你最後會回來', '有多愛 都能放開', '就連你的好壞 都忘懷', '開始釋懷 動身去往下個月臺', '你回頭會發現 我早已經離開', '走失在人海', '沒有誰會一直去等待', '你選擇離開的時候', '是落葉飛舞的深秋', '距離現在過了很久', '連回憶 都變模糊', '我也曾挽留 你仍選擇走', '給出的溫柔 你不收', '我和你的遷就 變成你的藉口', '多荒謬', '奇不奇怪 我竟然會開始釋懷', '不再抱有期待 你最後會回來', '有多愛 都能放開', '就連你的好壞 都忘懷', '開始釋懷 動身去往下個月臺', '你回頭會發現 我早已經離開', '走失在人海', '沒有誰會一直去等待']",哀
Coy6oi,不在你標準範圍,"['又讓你失望', '沒有你想像中那麼完美', '也不屬於你的標準範圍', '我的好你看不見', '抱歉又讓你失望', '沒你想像中完美', '不在你標準範圍', '我的好你看不見', '不用說話也沒關係', '表情說明了一切', '我可以獨自去面對', '也不是第一次心碎', 'I hate this world 曾經也希望我沒有存在過', '他們不懂 卻認為我只是為詞強說愁', '我比較real 無法裝出那些虛假的笑容', ""You don't know"", '傷我的你不是第一個', '對我玻璃心我承認', 'Got a coldheart 天生的', '都走吧 習慣一個人', '被世界唾棄 是我的命', '我來襯托 成功的對比', '我想你一定跟我the same', '才聽我的sad shit', '情緒崩潰錯了嗎', '為何要逼我去堅強', '難道你以為我想', '以為我想這樣', '抱歉又讓你失望', '沒你想像中完美', '不在你標準範圍', '我的好你看不見', '不用說話也沒關係', '表情說明了一切', '我可以獨自去面對', '也不是第一次心碎', 'I hate this world 曾經也希望我沒有存在過', '他們不懂 卻認為我只是為詞強說愁', '我比較real 無法裝出那些虛假的笑容', ""You don't know"", 'Look at me 心碎一地', '但習慣了 不會怪你', '感性的人都有病', '但別說出來 放心底', '未來模糊的21', '你的期望我扛不起', '只想要做我自己', '就算失敗跟你也沒關係', '給我閉嘴', '你不是我怎麼會懂我的累', ""Don't fuck with dat shit"", '說真的最討厭吃瓜群眾的嘴', '只需要安靜的空間不用他們安慰', '不止買醉這首我也買下了你的眼淚', ""I can't feel my face"", 'I hate this world 曾經也希望我沒有存在過', '他們不懂 卻認為我只是為詞強說愁', '我比較real 無法裝出那些虛假的笑容', ""You don't know""]",哀
禪波,訊號,"['feat. Jessie.C & ILLPA', '很抱歉找不到你的訊號最後的留?言剩下?號', '傳送的訊息變驚嘆號', 'Wifi 找不到 彩球繞啊繞', '我試著奔跑 找個地?收訊好 手舉?', '我變得焦慮 因為沒有妳', '的夜裡 痛罵著 我使?用的電信客服也沒反應 我彷彿被抽離', '自我隔絕 你們所謂現代的感情', '靠著網絡?繫 多了些不實際', '真的想起妳的時候只傳Emoji 這是新時代的感染病', '不用打噴嚏 我們的訊號 早已不通信', '查不到你的消息你的推播已關閉像是沒訊號的TV 雪花散?在這裡', '聽不到你的聲?', '你的鈴聲已?痺', '我只想要找到妳讓氣氛不再安靜', '我沒有訊號', '我只想把你找到', '在這裡夜黑風吹來無聊', '但你的通知 都沒有送到我沒有收到', '我沒有訊號', '我只想把你找到', '在這裡時間很慢很浮躁但你的通知 都沒有送到Oh你的訊號', '我沒有訊號', '知不知道 我很焦躁', '腦裡響起關於 爆炸的警報被?機掌握 所有的預料', '或是哪個中獎的序號能換成鈔票', '但那些都不是重點 重點是我應該 如何與你連上線連上線超越?距離之外的介?', '介面之外的界線 跨越過 水平?', '不用明信片', '我就是你的Postman', '但沒你像是失了業', ""像是第?次見面 尷尬的 what's you Name"", '我們重新連線 connection 面對面', '找回一開始的不限速', '找回剛相處的 新鮮度', '找回對彼此的 依賴度', '你是我的wifi 比夜貓組 還飆高速', '查不到你的消息你的推播已關閉像是沒訊號的TV 雪花散落在這裡', '聽不到你的聲?', '你的鈴聲已麻痺', '我只想要找到妳讓氣氛不再安靜', '我沒有訊號', '我只想把你找到', '在這裡夜黑風吹?無聊', '但你的通知 都沒有送到我沒有收到', '我沒有訊號', '我只想把你找到', '在這裡時間很慢很浮躁但你的通知 都沒有送到Oh 妳的訊號']",哀
